"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2020-12-19,1,"None",1384
2020-12-19,2,"None",5
2020-12-20,1,"None",1659
2020-12-20,2,"None",5
2020-12-21,1,"None",5073
2020-12-21,2,"None",7
2020-12-22,1,"None",5756
2020-12-22,2,"None",5
2020-12-22,3,"None",5
2020-12-23,1,"None",4912
2020-12-23,2,"None",5
2020-12-24,1,"None",1646
2020-12-24,2,"None",5
2020-12-25,1,"None",8
2020-12-26,1,"None",5
2020-12-27,1,"None",124
2020-12-28,1,"None",1008
2020-12-29,1,"None",3930
2020-12-29,2,"None",6
2020-12-30,1,"None",5228
2020-12-30,2,"None",13
2020-12-31,1,"None",2930
2020-12-31,2,"None",6
2021-01-01,1,"None",559
2021-01-01,2,"None",5
2021-01-01,3,"None",5
2021-01-02,1,"None",672
2021-01-02,2,"None",9
2021-01-02,3,"None",5
2021-01-03,1,"None",626
2021-01-03,2,"None",5
2021-01-04,1,"None",2143
2021-01-04,2,"None",23
2021-01-05,1,"None",5522
2021-01-05,2,"None",329
2021-01-05,3,"None",5
2021-01-06,1,"None",7138
2021-01-06,2,"None",301
2021-01-06,3,"None",5
2021-01-07,1,"None",7149
2021-01-07,2,"None",58
2021-01-07,3,"None",5
2021-01-08,1,"None",7778
2021-01-08,2,"None",80
2021-01-08,3,"None",5
2021-01-09,1,"None",4626
2021-01-09,2,"None",55
2021-01-09,3,"None",5
2021-01-10,1,"None",2405
2021-01-10,2,"None",48
2021-01-11,1,"None",6452
2021-01-11,2,"None",83
2021-01-11,3,"None",5
2021-01-12,1,"None",10291
2021-01-12,2,"None",64
2021-01-12,3,"None",5
2021-01-13,1,"None",10955
2021-01-13,2,"None",77
2021-01-14,1,"None",12923
2021-01-14,2,"None",171
2021-01-14,3,"None",5
2021-01-15,1,"None",13497
2021-01-15,2,"None",112
2021-01-15,3,"None",5
2021-01-16,1,"None",11217
2021-01-16,2,"None",52
2021-01-17,1,"None",3789
2021-01-17,2,"None",26
2021-01-18,1,"None",9112
2021-01-18,2,"None",143
2021-01-18,3,"None",5
2021-01-19,1,"None",15036
2021-01-19,2,"None",138
2021-01-19,3,"None",5
2021-01-20,1,"None",14729
2021-01-20,2,"None",137
2021-01-21,1,"None",16509
2021-01-21,2,"None",109
2021-01-21,3,"None",5
2021-01-22,1,"None",18294
2021-01-22,2,"None",227
2021-01-22,3,"None",5
2021-01-23,1,"None",18643
2021-01-23,2,"None",100
2021-01-24,1,"None",5240
2021-01-24,2,"None",95
2021-01-24,3,"None",5
2021-01-25,1,"None",13390
2021-01-25,2,"None",313
2021-01-25,3,"None",5
2021-01-26,1,"None",15773
2021-01-26,2,"None",225
2021-01-26,3,"None",5
2021-01-27,1,"None",18074
2021-01-27,2,"None",117
2021-01-27,3,"None",5
2021-01-28,1,"None",18175
2021-01-28,2,"None",161
2021-01-29,1,"None",19731
2021-01-29,2,"None",261
2021-01-29,3,"None",5
2021-01-30,1,"None",19331
2021-01-30,2,"None",86
2021-01-31,1,"None",8235
2021-01-31,2,"None",92
2021-01-31,3,"None",5
2021-02-01,1,"None",16310
2021-02-01,2,"None",261
2021-02-01,3,"None",5
2021-02-02,1,"None",20515
2021-02-02,2,"None",182
2021-02-02,3,"None",5
2021-02-03,1,"None",22534
2021-02-03,2,"None",229
2021-02-03,3,"None",5
2021-02-04,1,"None",26526
2021-02-04,2,"None",304
2021-02-04,3,"None",5
2021-02-05,1,"None",26341
2021-02-05,2,"None",443
2021-02-05,3,"None",5
2021-02-06,1,"None",27324
2021-02-06,2,"None",126
2021-02-07,1,"None",13001
2021-02-07,2,"None",105
2021-02-08,1,"None",22317
2021-02-08,2,"None",811
2021-02-08,3,"None",5
2021-02-09,1,"None",27613
2021-02-09,2,"None",343
2021-02-09,3,"None",5
2021-02-10,1,"None",27735
2021-02-10,2,"None",262
2021-02-10,3,"None",5
2021-02-11,1,"None",31567
2021-02-11,2,"None",261
2021-02-11,3,"None",5
2021-02-12,1,"None",28075
2021-02-12,2,"None",831
2021-02-12,3,"None",7
2021-02-13,1,"None",24222
2021-02-13,2,"None",374
2021-02-13,3,"None",5
2021-02-14,1,"None",13622
2021-02-14,2,"None",380
2021-02-14,3,"None",5
2021-02-15,1,"None",12704
2021-02-15,2,"None",1349
2021-02-15,3,"None",11
2021-02-16,1,"None",17519
2021-02-16,2,"None",2550
2021-02-16,3,"None",26
2021-02-17,1,"None",19212
2021-02-17,2,"None",2775
2021-02-17,3,"None",29
2021-02-18,1,"None",18963
2021-02-18,2,"None",3215
2021-02-18,3,"None",29
2021-02-19,1,"None",17660
2021-02-19,2,"None",3351
2021-02-19,3,"None",40
2021-02-20,1,"None",10902
2021-02-20,2,"None",2256
2021-02-20,3,"None",44
2021-02-21,1,"None",6595
2021-02-21,2,"None",2028
2021-02-21,3,"None",21
2021-02-22,1,"None",10810
2021-02-22,2,"None",3546
2021-02-22,3,"None",19
2021-02-23,1,"None",14867
2021-02-23,2,"None",4450
2021-02-23,3,"None",38
2021-02-24,1,"None",16790
2021-02-24,2,"None",4204
2021-02-24,3,"None",30
2021-02-25,1,"None",16605
2021-02-25,2,"None",4436
2021-02-25,3,"None",46
2021-02-26,1,"None",15548
2021-02-26,2,"None",4426
2021-02-26,3,"None",25
2021-02-27,1,"None",10571
2021-02-27,2,"None",2990
2021-02-27,3,"None",36
2021-02-28,1,"None",7501
2021-02-28,2,"None",2814
2021-02-28,3,"None",39
2021-03-01,1,"None",10537
2021-03-01,2,"None",4297
2021-03-01,3,"None",39
2021-03-02,1,"None",14261
2021-03-02,2,"None",6529
2021-03-02,3,"None",45
2021-03-03,1,"None",14323
2021-03-03,2,"None",7617
2021-03-03,3,"None",114
2021-03-04,1,"None",16687
2021-03-04,2,"None",7005
2021-03-04,3,"None",79
2021-03-05,1,"None",14723
2021-03-05,2,"None",6307
2021-03-05,3,"None",45
2021-03-06,1,"None",12146
2021-03-06,2,"None",4397
2021-03-06,3,"None",7
2021-03-07,1,"None",5440
2021-03-07,2,"None",2941
2021-03-07,3,"None",5
2021-03-08,1,"None",8691
2021-03-08,2,"None",4688
2021-03-08,3,"None",27
2021-03-09,1,"None",10932
2021-03-09,2,"None",8499
2021-03-09,3,"None",58
2021-03-10,1,"None",11135
2021-03-10,2,"None",8375
2021-03-10,3,"None",106
2021-03-11,1,"None",14221
2021-03-11,2,"None",7445
2021-03-11,3,"None",18
2021-03-12,1,"None",16579
2021-03-12,2,"None",6249
2021-03-12,3,"None",17
2021-03-13,1,"None",18600
2021-03-13,2,"None",5698
2021-03-13,3,"None",21
2021-03-14,1,"None",8817
2021-03-14,2,"None",3271
2021-03-14,3,"None",7
2021-03-15,1,"None",16725
2021-03-15,2,"None",6325
2021-03-15,3,"None",22
2021-03-16,1,"None",19886
2021-03-16,2,"None",8635
