"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"25","age_group55-64",0.393728366093924,0.026061261782145,-35.7654990536125,3.7992719611374e-280,0.37411754811027,0.414359199152007,"a_2023","fit_agr_sex_eth"
"26","ethnicityblack",0.506893292719589,0.101796710407144,-6.67462399161644,2.47866840645012e-11,0.414879777174572,0.618522245825729,"a_2023","fit_agr_sex_eth"
"27","ethnicityasian",0.47318207698372,0.0416217797868917,-17.9779679682893,2.89924914328317e-72,0.436050387827079,0.513337170541456,"a_2023","fit_agr_sex_eth"
"28","ethnicitymissing",0.920287626951259,0.00587160389297383,-14.1475857915123,1.93279423056198e-45,0.909756741424291,0.930938796692632,"a_2023","fit_agr_sex_eth"
"29","sexMale",1.1118723367233,0.00585515477584733,18.1114570310378,2.58806932151574e-73,1.09918641435508,1.12470647711934,"a_2023","fit_agr_sex_eth"
"30","(Intercept)",2.74980336168425,0.00656854035620478,153.996070576667,0,2.71465011538385,2.78545529007561,"a_2023","fit_agr_sex_reg"
"31","age_group65-74",0.553361048245958,0.00656462770686734,-90.1413799511367,0,0.546284602543861,0.560524527620648,"a_2023","fit_agr_sex_reg"
"32","age_group85-94",0.733756829288459,0.0101969683752132,-30.3597686208253,1.86716593683723e-202,0.71924347043298,0.748575054995661,"a_2023","fit_agr_sex_reg"
"33","age_group>=95",0.547903437488781,0.0315852003666125,-19.0486749977629,6.73863134587681e-81,0.515050958817996,0.582941296678236,"a_2023","fit_agr_sex_reg"
"34","age_group<=34",0.20492996746891,0.0601796219033202,-26.3392645247789,6.81279852541026e-153,0.181995937513417,0.230431104264156,"a_2023","fit_agr_sex_reg"
"35","age_group35-44",0.215702342062425,0.0519232446304187,-29.5408324075587,8.61272468771838e-192,0.194728073387879,0.23869403044264,"a_2023","fit_agr_sex_reg"
"36","age_group45-54",0.295472217778515,0.036333550684516,-33.5552248887553,7.55409039453076e-247,0.275125982706483,0.317242960836918,"a_2023","fit_agr_sex_reg"
"37","age_group55-64",0.386267197693347,0.0261820919954979,-36.3311658652992,5.21251178056181e-289,0.366941141357433,0.406603383492842,"a_2023","fit_agr_sex_reg"
"38","regionWales",0.740879575032766,0.00635662988838805,-47.1817911352822,0,0.731706444356812,0.750167837117532,"a_2023","fit_agr_sex_reg"
"39","regionNorthern Ireland",0.580770073424558,0.00982955696458052,-55.2822823276799,0,0.569689397069689,0.592068668020807,"a_2023","fit_agr_sex_reg"
"40","regionEngland",0.710954949581548,0.021843280171836,-15.6179021902346,5.49851462316963e-55,0.681191767709363,0.742090184280494,"a_2023","fit_agr_sex_reg"
